"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19839230769,1.987e+10,1.9342e+10,16563666667,17594944444,17155421053,20249294118,2.8101e+10,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,18983303571,12294221473,11315986087,15030695297,13627323285,13245833844,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,52023504656,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68915416142,69889347433,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,2.173e+10,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37801462766,38652579787,34729228723,NA
169803921.6,190098039.2,212254902,237745098,266666666.7,300392156.9,3.4e+08,390196078.4,444901960.8,528137254.9,538423153.7,573400000,590900000,670900000,632400000,596200000,642100000,7.13e+08,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3.062e+09,3.166e+09,3111160000,3.109e+09,3.092e+09,3.259e+09,3.429e+09,3.609e+09,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,1.0526e+10,9981960000,10095760000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255802469,1866572954,2786045322,3671816504,4116699437,4685733115,5567405599,5800774717,6728771314,8498560902,10157553968,11222953335,12864610863,15778767411,19112739398,17613836527,17176781046,18644723854,17221192466,18172335776,18560861389,16219819017,16914287349,18079075771,20177409351,20201323260,19946496563,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.165e+10,1.8e+10,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,64409647194,60258239056,NA
28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.3,118066298.3,96905829.6,117650000,136300000,151800000,197938222.4,196089854.7,182206327,192103186,214381949,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,412086445.5,444720750,518559700,560205300,581269550,620422500,641660000,654582900,689140000,732732350,832072450,868358750,925197950,983575600,1051386600,1102564900,1210603750,1271598050,1351338650,1317309450,1377177100,1460797903,1522897506,1579411253,1667335061,1721700991,1789304088,1858529677,1915899787,1982518541,1636280797,NA
84466654.08,89249986.7,94149985.97,96366652.3,107566650.6,114339049,134173373.8,155102984.6,1.5e+08,164900000,186300000,211100000,235400000,269500000,312600000,3.45e+08,386300000,4.47e+08,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6.144e+09,6.767e+09,6.98e+09,6.656e+09,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,6842700000,NA
373879363.6,406684585.7,444665186.4,478805990.1,539491477.3,604377104.4,669191919.2,755808080.8,857912457.9,929629629.6,1017003367,1095622896,1257615645,1262968516,2100249875,2404697651,2731984008,3227436282,3758220890,4421343606,4526916803,5872756933,5587490265,5422440962,6169501038,5377277407,3958338883,4323623622,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631314,23963033431,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844,36572764863,NA
17030465539,17275940449,19231747852,23287712878,20963733695,22465522884,28283323733,31086389195,33930457425,37171640819,42327664794,48869830902,58434858375,83592275863,1.09795e+11,1.29204e+11,1.53169e+11,1.76344e+11,2.00279e+11,2.21338e+11,2.37393e+11,2.58015e+11,2.71314e+11,1.89657e+11,1.8834e+11,2.1088e+11,2.56481e+11,2.83057e+11,3.08334e+11,3.47028e+11,3.90726e+11,3.42609e+11,3.28188e+11,3.68296e+11,5.2537e+11,7.69333e+11,8.50426e+11,8.83206e+11,8.63711e+11,5.99642e+11,6.55448e+11,5.59984e+11,5.09795e+11,5.58234e+11,6.69289e+11,8.91634e+11,1.10763e+12,1.39711e+12,1.69586e+12,1.667e+12,2.20884e+12,2.61616e+12,2.46523e+12,2.47282e+12,2.45604e+12,1.80221e+12,1.79569e+12,2.06351e+12,1.91693e+12,1.87782e+12,1.44473e+12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311809337.5,402178605,435911268.6,495097667.9,552883707.1,670362452.1,1012280615,1114204743,1163923830,1236016507,1346890071,1409536121,1547755183,1704370308,1812757918,2006165167,2012131457,2020583702,1.957e+09,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4.674e+09,4.785e+09,4465500000,4.53e+09,4657500000,4.61e+09,4.677e+09,4696500000,4.715e+09,4.83e+09,4.978e+09,5086500000,5.209e+09,4.418e+09,NA
